"lsoa11cd","lsoa11nm","Index.of.Multiple.Deprivation..IMD..Score","Index.of.Multiple.Deprivation..IMD..Rank..where.1.is.most.deprived.","Index.of.Multiple.Deprivation..IMD..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Score..rate.","Income.Rank..where.1.is.most.deprived.","Income.Decile..where.1.is.most.deprived.10..of.LSOAs.","Employment.Score..rate.","Employment.Rank..where.1.is.most.deprived.","Employment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Education..Skills.and.Training.Score","Education..Skills.and.Training.Rank..where.1.is.most.deprived.","Education..Skills.and.Training.Decile..where.1.is.most.deprived.10..of.LSOAs.","Health.Deprivation.and.Disability.Score","Health.Deprivation.and.Disability.Rank..where.1.is.most.deprived.","Health.Deprivation.and.Disability.Decile..where.1.is.most.deprived.10..of.LSOAs.","Crime.Score","Crime.Rank..where.1.is.most.deprived.","Crime.Decile..where.1.is.most.deprived.10..of.LSOAs.","Barriers.to.Housing.and.Services.Score","Barriers.to.Housing.and.Services.Rank..where.1.is.most.deprived.","Barriers.to.Housing.and.Services.Decile..where.1.is.most.deprived.10..of.LSOAs.","Living.Environment.Score","Living.Environment.Rank..where.1.is.most.deprived.","Living.Environment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Children.Index..IDACI..Score..rate.","Income.Deprivation.Affecting.Children.Index..IDACI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Children.Index..IDACI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Older.People..IDAOPI..Score..rate.","Income.Deprivation.Affecting.Older.People..IDAOPI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Older.People..IDAOPI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Children.and.Young.People.Sub.domain.Score","Children.and.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Children.and.Young.People.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Adult.Skills.Sub.domain.Score","Adult.Skills.Sub.domain.Rank..where.1.is.most.deprived.","Adult.Skills.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Indoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Total.population..mid.2012..excluding.prisoners.","Dependent.Children.aged.0.15..mid.2012..excluding.prisoners.","Population.aged.16.59..mid.2012..excluding.prisoners.","Older.population.aged.60.and.over..mid.2012..excluding.prisoners.","Working.age.population.18.59.64..for.use.with.Employment.Deprivation.Domain..excluding.prisoners."
"E01006564","Liverpool 023B",44.55,3292,2,0.295,3544,2,0.264,2004,1,42.524,4704,2,1.678,1070,1,0.346,11182,4,15.883,21939,7,17.95,16170,5,0.361,4192,2,0.348,3926,2,0.137,14084,5,0.52,1461,1,-0.074,17060,6,0.001,15479,5,-0.23,19861,7,0.551,8179,3,1676,222,908,546,951
"E01006565","Liverpool 029A",43.744,3478,2,0.25,5441,2,0.218,3997,2,34.062,7141,3,1.557,1436,1,1.256,1664,1,8.726,29976,10,45.051,3313,2,0.259,8785,3,0.34,4245,2,0.152,13828,5,0.46,3587,2,-0.612,25701,8,-0.719,19410,6,1.028,3946,2,0.869,4969,2,1519,257,873,389,877.25
"E01006566","Liverpool 032A",25.619,10511,4,0.151,12385,4,0.14,10047,4,13.672,18486,6,1.078,3856,2,0.41,10260,4,9.134,29621,10,39.554,4854,2,0.179,13815,5,0.238,9168,3,-0.382,22196,7,0.314,14475,5,-0.506,24244,8,-0.798,19849,7,0.81,5824,2,0.867,4984,2,1495,278,868,349,875.25
"E01006567","Liverpool 026A",45.681,3039,1,0.289,3752,2,0.273,1743,1,38.974,5609,2,1.719,962,1,0.348,11163,4,15.468,22451,7,28.604,9379,3,0.296,6849,3,0.349,3874,2,0.266,12092,4,0.486,2554,1,-0.054,16716,6,-0.173,16394,5,0.557,8662,3,0.388,10255,4,1652,207,990,455,1007
"E01006568","Liverpool 026B",30.751,7879,3,0.196,8577,3,0.17,7160,3,17.825,15282,5,1.31,2466,1,-0.053,17370,6,27.968,8383,3,25.289,11206,4,0.19,13030,4,0.311,5395,2,-0.154,18748,6,0.339,11825,4,0.884,4226,2,-0.91,20467,7,0.446,10052,4,0.267,11957,4,1602,288,946,368,947
"E01006569","Liverpool 029B",54.643,1522,1,0.313,2878,1,0.281,1510,1,44.35,4298,2,1.694,1037,1,1.399,1054,1,14.784,23334,8,46.415,3000,1,0.339,5003,2,0.399,2446,1,0.677,6739,3,0.478,2836,1,-0.14,18231,6,-0.098,15976,5,1.085,3498,2,0.846,5179,2,1435,204,811,420,795
"E01006570","Liverpool 026C",21.574,13018,4,0.12,15626,5,0.146,9398,3,13.294,18801,6,0.837,5764,2,-0.161,19026,6,9.6,29202,9,33.601,7121,3,0.135,17507,6,0.143,17140,6,-0.477,23562,8,0.317,14096,5,-0.127,17992,6,-1.916,25653,8,0.719,6794,3,0.534,8390,3,1492,245,898,349,896.75
"E01006571","Liverpool 026D",56.319,1301,1,0.33,2351,1,0.295,1153,1,48.95,3370,2,1.716,975,1,1.301,1452,1,9.979,28826,9,45.475,3224,1,0.363,4111,2,0.422,1991,1,1.029,3493,2,0.46,3571,2,-0.769,27576,9,-0.133,16171,5,0.815,5785,2,1.336,2103,1,1465,248,872,345,854.25
"E01006572","Liverpool 025A",65.332,513,1,0.461,252,1,0.341,446,1,68.29,896,1,1.976,482,1,0.663,6851,3,10.105,28693,9,19.799,14812,5,0.624,89,1,0.419,2049,1,1.559,844,1,0.506,1863,1,-1.649,32410,10,0.371,13573,5,-0.311,20989,7,0.796,5641,2,1209,306,675,228,675
"E01006573","Liverpool 029C",48.409,2528,1,0.337,2092,1,0.264,1995,1,27.282,9758,3,1.525,1542,1,0.468,9464,3,8.946,29779,10,55.778,1360,1,0.406,2663,1,0.407,2298,1,0.149,13876,5,0.4,6789,3,-1.454,32002,10,0.046,15253,5,1.376,1821,1,0.911,4607,2,1517,300,859,358,870
